"EntitySet","EntityType","PropertyCount","Properties"
"AccumulationRegister_ГрафикДвиженияЗапасов","StandardODATA.AccumulationRegister_ГрафикДвиженияЗапасов","3","Recorder, RecordSet, Recorder_Type"
"AccumulationRegister_ГрафикДвиженияЗапасов_RecordType","StandardODATA.AccumulationRegister_ГрафикДвиженияЗапасов_RecordType","12","Recorder, Period, LineNumber, Active, Организация_Key, ТипДвижения, Заказ, Номенклатура_Key, Характеристика_Key, Количество, Recorder_Type, Заказ_Type"
"AccumulationRegister_ДенежныеСредстваВРезерве","StandardODATA.AccumulationRegister_ДенежныеСредстваВРезерве","3","Recorder, RecordSet, Recorder_Type"
"AccumulationRegister_ДенежныеСредстваВРезерве_RecordType","StandardODATA.AccumulationRegister_ДенежныеСредстваВРезерве_RecordType","14","Recorder, Period, LineNumber, Active, RecordType, Организация_Key, ТипДенежныхСредств, БанковскийСчетКасса, Валюта_Key, Документ, Сумма, Recorder_Type, БанковскийСчетКасса_Type, Документ_Type"
"AccumulationRegister_ДенежныеСредстваКПоступлению","StandardODATA.AccumulationRegister_ДенежныеСредстваКПоступлению","3","Recorder, RecordSet, Recorder_Type"
"AccumulationRegister_ДенежныеСредстваКПоступлению_RecordType","StandardODATA.AccumulationRegister_ДенежныеСредстваКПоступлению_RecordType","16","Recorder, Period, LineNumber, Active, RecordType, Организация_Key, Касса, ДокументПередачи, ДоговорКонтрагента_Key, Сумма, СуммаВал, КассаОтправитель, Recorder_Type, Касса_Type, ДокументПередачи_Type, КассаОтправитель_Type"
"AccumulationRegister_ЗаказыПоставщикам_RecordType","StandardODATA.AccumulationRegister_ЗаказыПоставщикам_RecordType","12","Recorder, Period, LineNumber, Active, RecordType, Организация_Key, ЗаказПоставщику_Key, Номенклатура_Key, Характеристика_Key, Количество, ДатаПоступления, Recorder_Type"
"AccumulationRegister_Запасы","StandardODATA.AccumulationRegister_Запасы","3","Recorder, RecordSet, Recorder_Type"
"AccumulationRegister_Запасы_RecordType","StandardODATA.AccumulationRegister_Запасы_RecordType","41","Recorder, Period, LineNumber, Active, RecordType, Организация_Key, СтруктурнаяЕдиница, СчетУчета_Key, Номенклатура_Key, Характеристика_Key, Партия_Key, ЗаказПокупателя_Key, ЗаказНаПроизводство_Key, Количество, Сумма, КоличествоИнт, СуммаИнт, КоррСтруктурнаяЕдиница, КоррСчетУчета_Key, КоррНоменклатура_Key, КоррХарактеристика_Key, КоррПартия_Key, КоррЗаказПокупателя_Key, Спецификация_Key, КоррСпецификация_Key, ЗаказПродажи_Key, ДокументПродажи, Подразделение_Key, Ответственный_Key, СтавкаНДС_Key, ФиксированнаяСтоимость, ЗатратыНаВыпуск, Возврат, СодержаниеПроводки, ПеремещениеВРозницуСуммовойУчет, ХозяйственнаяОперация_Key, КоррЗаказНаПроизводство_Key, Recorder_Type, СтруктурнаяЕдиница_Type, КоррСтруктурнаяЕдиница_Type, ДокументПродажи_Type"
"AccumulationRegister_ЗапасыВРазрезеГТД","StandardODATA.AccumulationRegister_ЗапасыВРазрезеГТД","3","Recorder, RecordSet, Recorder_Type"
"AccumulationRegister_ЗапасыВРазрезеГТД_RecordType","StandardODATA.AccumulationRegister_ЗапасыВРазрезеГТД_RecordType","13","Recorder, Period, LineNumber, Active, RecordType, Организация_Key, Номенклатура_Key, Характеристика_Key, Партия_Key, НомерГТД_Key, СтранаПроисхождения_Key, Количество, Recorder_Type"
"AccumulationRegister_ЗапасыВРемонте","StandardODATA.AccumulationRegister_ЗапасыВРемонте","3","Recorder, RecordSet, Recorder_Type"
"AccumulationRegister_ЗапасыВРемонте_RecordType","StandardODATA.AccumulationRegister_ЗапасыВРемонте_RecordType","13","Recorder, Period, LineNumber, Active, RecordType, Организация_Key, Номенклатура_Key, Характеристика_Key, Серия_Key, СтруктурнаяЕдиница_Key, Количество, СостояниеРемонта_Key, Recorder_Type"
"AccumulationRegister_ЗапасыИАгентскиеУслугиПринятые","StandardODATA.AccumulationRegister_ЗапасыИАгентскиеУслугиПринятые","3","Recorder, RecordSet, Recorder_Type"
"AccumulationRegister_ЗапасыИАгентскиеУслугиПринятые_RecordType","StandardODATA.AccumulationRegister_ЗапасыИАгентскиеУслугиПринятые_RecordType","18","Recorder, Period, LineNumber, Active, RecordType, Организация_Key, Номенклатура_Key, Характеристика_Key, Партия_Key, Контрагент_Key, Договор_Key, Заказ, ТипПриемаПередачи, Количество, СуммаРасчетов, СодержаниеПроводки, Recorder_Type, Заказ_Type"
"AccumulationRegister_ЗапасыКПоступлениюНаСклады","StandardODATA.AccumulationRegister_ЗапасыКПоступлениюНаСклады","3","Recorder, RecordSet, Recorder_Type"
"AccumulationRegister_ЗапасыКПоступлениюНаСклады_RecordType","StandardODATA.AccumulationRegister_ЗапасыКПоступлениюНаСклады_RecordType","12","Recorder, Period, LineNumber, Active, RecordType, Организация_Key, Номенклатура_Key, Характеристика_Key, Партия_Key, СтруктурнаяЕдиница_Key, Количество, Recorder_Type"
"AccumulationRegister_ЗапасыКРасходуСоСкладов","StandardODATA.AccumulationRegister_ЗапасыКРасходуСоСкладов","3","Recorder, RecordSet, Recorder_Type"
"AccumulationRegister_ЗапасыКРасходуСоСкладов_RecordType","StandardODATA.AccumulationRegister_ЗапасыКРасходуСоСкладов_RecordType","12","Recorder, Period, LineNumber, Active, RecordType, Организация_Key, Номенклатура_Key, Характеристика_Key, Партия_Key, СтруктурнаяЕдиница_Key, Количество, Recorder_Type"
"AccumulationRegister_ЗапасыНаСкладах","StandardODATA.AccumulationRegister_ЗапасыНаСкладах","3","Recorder, RecordSet, Recorder_Type"
"AccumulationRegister_ЗапасыНаСкладах_RecordType","StandardODATA.AccumulationRegister_ЗапасыНаСкладах_RecordType","15","Recorder, Period, LineNumber, Active, RecordType, Организация_Key, Номенклатура_Key, Характеристика_Key, Партия_Key, СтруктурнаяЕдиница_Key, Ячейка_Key, Количество, КоличествоИнт, ХозяйственнаяОперация_Key, Recorder_Type"
"AccumulationRegister_ЗапасыПереданные","StandardODATA.AccumulationRegister_ЗапасыПереданные","3","Recorder, RecordSet, Recorder_Type"
"AccumulationRegister_ЗапасыПереданные_RecordType","StandardODATA.AccumulationRegister_ЗапасыПереданные_RecordType","17","Recorder, Period, LineNumber, Active, RecordType, Организация_Key, Номенклатура_Key, Характеристика_Key, Партия_Key, Контрагент_Key, Договор_Key, Заказ, ТипПриемаПередачи, Количество, СуммаРасчетов, Recorder_Type, Заказ_Type"
"AccumulationRegister_ЗапасыПереданныеВРазрезеГТД","StandardODATA.AccumulationRegister_ЗапасыПереданныеВРазрезеГТД","3","Recorder, RecordSet, Recorder_Type"
"AccumulationRegister_ЗапасыПереданныеВРазрезеГТД_RecordType","StandardODATA.AccumulationRegister_ЗапасыПереданныеВРазрезеГТД_RecordType","15","Recorder, Period, LineNumber, Active, RecordType, Организация_Key, Номенклатура_Key, Характеристика_Key, Партия_Key, НомерГТД_Key, СтранаПроисхождения_Key, Количество, ДокументПередачи, Recorder_Type, ДокументПередачи_Type"
"AccumulationRegister_ЗапасыПереданныеВРемонте","StandardODATA.AccumulationRegister_ЗапасыПереданныеВРемонте","3","Recorder, RecordSet, Recorder_Type"
"AccumulationRegister_ЗапасыПереданныеВРемонте_RecordType","StandardODATA.AccumulationRegister_ЗапасыПереданныеВРемонте_RecordType","12","Recorder, Period, LineNumber, Active, RecordType, Организация_Key, СервисныйЦентр_Key, Номенклатура_Key, Характеристика_Key, Серия_Key, Количество, Recorder_Type"
"AccumulationRegister_ЗапасыПринятыеВРазрезеГТД","StandardODATA.AccumulationRegister_ЗапасыПринятыеВРазрезеГТД","3","Recorder, RecordSet, Recorder_Type"
"AccumulationRegister_ЗапасыПринятыеВРазрезеГТД_RecordType","StandardODATA.AccumulationRegister_ЗапасыПринятыеВРазрезеГТД_RecordType","15","Recorder, Period, LineNumber, Active, RecordType, Организация_Key, Номенклатура_Key, Характеристика_Key, Партия_Key, НомерГТД_Key, СтранаПроисхождения_Key, Количество, ДокументПриема, Recorder_Type, ДокументПриема_Type"
"AccumulationRegister_ОстаткиАлкогольнойПродукцииЕГАИС","StandardODATA.AccumulationRegister_ОстаткиАлкогольнойПродукцииЕГАИС","3","Recorder, RecordSet, Recorder_Type"
"AccumulationRegister_ОстаткиАлкогольнойПродукцииЕГАИС_RecordType","StandardODATA.AccumulationRegister_ОстаткиАлкогольнойПродукцииЕГАИС_RecordType","11","Recorder, Period, LineNumber, Active, RecordType, ОрганизацияЕГАИС_Key, АлкогольнаяПродукция_Key, Справка2_Key, Количество, СвободныйОстаток, Recorder_Type"
